Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 14_level_0
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
224,Parris Campbell,IND,25,WR,17,16,5,58,0,2,28,11.6,3.4,1
225,Ja'Marr Chase*,CIN,22,WR,12,12,5,8,0,0,6,1.6,0.7,2
226,Chad Henne,KAN,37,QB,3,0,5,-5,0,0,-1,-1.0,-1.7,1
227,Sam Howell,WAS,22,QB,1,1,5,35,1,4,10,7.0,35.0,0
228,Julio Jones,TAM,33,WR,10,5,5,45,0,4,15,9.0,4.5,0
229,Case Keenum,BUF,34,QB,2,0,5,0,0,0,4,0.0,0.0,0
230,Christian Kirk,JAX,26,WR,17,17,5,11,0,0,5,2.2,0.6,1
231,Elijah Moore,NYJ,22,WR,16,9,5,5,0,2,10,1.0,0.3,1
232,Nate Sudfeld,DET,29,QB,2,0,5,-4,0,0,0,-0.8,-2.0,0
233,Tyrod Taylor,NYG,33,QB,3,0,5,70,0,5,32,14.0,23.3,2
234,Jonathan Ward,2TM,25,,8,0,5,25,0,2,12,5.0,3.1,0
235,Montrell Washington,DEN,23,WR,15,1,5,30,0,0,19,6.0,2.0,5
236,Jameis Winston,NOR,28,QB,3,3,5,16,0,0,6,3.2,5.3,3
237,Ameer Abdullah,LVR,29,RB,17,0,4,20,0,2,7,5.0,1.2,0
238,C.J. Beathard,JAX,29,QB,4,0,4,-4,0,0,-1,-1.0,-1.0,0
239,David Blough,ARI,27,QB,2,2,4,5,0,0,4,1.3,2.5,1
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
240,Treylon Burks,TEN,22,WR,11,6,4,47,0,3,20,11.8,4.3,0
241,Pharoh Cooper,ARI,27,WR,5,1,4,15,0,0,6,3.8,3.0,0
242,C.J. Ham,MIN,29,FB,17,4,4,7,2,3,3,1.8,0.4,0
243,Mecole Hardman,KAN,24,WR,8,5,4,31,2,3,25,7.8,3.9,1
244,Mack Hollins,LVR,29,WR,17,16,4,40,0,2,17,10.0,2.4,0
245,Zander Horvath,LAC,24,FB,15,2,4,8,0,2,3,2.0,0.5,0
246,Justin Jefferson*+,MIN,23,WR,17,17,4,24,1,2,10,6.0,1.4,0
247,Jerry Jeudy,DEN,23,WR,15,14,4,40,0,4,14,10.0,2.7,0
248,D'Ernest Johnson,CLE,26,RB,15,0,4,17,0,1,7,4.3,1.1,0
249,Zay Jones,JAX,27,WR,16,15,4,18,0,1,14,4.5,1.1,0
250,Ray-Ray McCloud,SFO,26,WR,17,2,4,78,1,1,71,19.5,4.6,2
251,Nick Mullens,MIN,27,QB,4,0,4,8,0,1,4,2.0,2.0,0
252,Adam Prentice,NOR,25,FB,11,2,4,9,0,3,3,2.3,0.8,1
253,Jalen Reagor,MIN,23,WR,17,0,4,25,0,1,17,6.3,1.5,4
254,Anthony Schwartz,CLE,22,WR,11,1,4,57,1,2,31,14.3,5.2,1
255,Rashid Shaheed,NOR,24,WR,12,6,4,57,1,2,44,14.3,4.8,1
256,Trevor Siemian,CHI,31,QB,2,1,4,8,0,1,6,2.0,4.0,0
257,Trent Taylor,CIN,28,WR,16,1,4,15,0,0,9,3.8,0.9,2
258,DJ Turner,LVR,25,WR,9,0,4,26,0,1,18,6.5,2.9,1
259,Garrett Wilson,NYJ,22,WR,17,12,4,4,0,0,7,1.0,0.2,2
260,Davante Adams*+,LVR,30,WR,17,17,3,-1,0,0,4,-0.3,-0.1,1
261,Brandon Allen,CIN,30,QB,1,0,3,-1,0,1,2,-0.3,-1.0,0
262,Mark Andrews*,BAL,27,TE,15,15,3,8,0,3,4,2.7,0.5,1
263,Reggie Bonnafon,WAS,26,RB,1,0,3,8,0,0,5,2.7,8.0,0
264,Teddy Bridgewater,MIA,30,QB,5,2,3,27,0,2,11,9.0,5.4,0
265,Anthony Brown,BAL,24,QB,2,1,3,-5,0,0,-1,-1.7,-2.5,1
266,Joe Flacco,NYJ,37,QB,5,4,3,6,0,1,7,2.0,1.2,5
267,Chris Godwin,TAM,26,WR,15,13,3,5,0,0,2,1.7,0.3,2
268,Godwin Igwebuike,SEA,28,RB,5,0,3,4,0,0,4,1.3,0.8,0
269,Chris Moore,HOU,29,WR,16,7,3,3,0,0,3,1.0,0.2,0
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
270,Skyy Moore,KAN,22,WR,16,3,3,24,0,1,12,8.0,1.5,3
271,Chigoziem Okonkwo,TEN,23,TE,17,8,3,2,0,0,6,0.7,0.1,0
272,K.J. Osborn,MIN,25,WR,17,9,3,6,0,2,5,2.0,0.4,1
273,Devine Ozigbo,DEN,26,RB,4,0,3,4,0,0,4,1.3,1.0,0
274,George Pickens,PIT,21,WR,17,12,3,24,1,2,22,8.0,1.4,0
275,Michael Pittman Jr.,IND,25,WR,16,16,3,30,0,2,19,10.0,1.9,2
276,Tyquan Thornton,NWE,22,WR,13,9,3,16,1,1,19,5.3,1.2,0
277,KaVontae Turpin*,DAL,26,WR,17,0,3,17,0,1,11,5.7,1.0,3
278,Jaylen Waddle,MIA,24,WR,17,17,3,26,0,0,9,8.7,1.5,1
279,Quez Watkins,PHI,24,WR,17,8,3,1,0,0,4,0.3,0.1,1
280,Brandon Aiyuk,SFO,24,WR,17,17,2,23,0,1,16,11.5,1.4,1
281,Andrew Beck,DEN,26,FB,13,4,2,0,0,0,1,0.0,0.0,0
282,Tim Boyle,CHI,28,QB,1,0,2,-2,0,0,-1,-1.0,-2.0,0
283,DeAndre Carter,LAC,29,WR,17,7,2,-15,0,0,-5,-7.5,-0.9,3
