Player,Team,Pass Targets,Receptions,Catch Percentage,Passing Yards,Passing Touchdowns,Target Percentage,Red Zone Targets,Red Zone Receptions,Red Zone Catch Percentage,Red Zone Yards,Red Zone Touchdowns,Red Zone Target Percentage,Player Link
K.J. Osborn,MIN,9,7,0.7778,49,4,0.092,5,3,0.6,16,3,0.096,All K.J. Osborn red zone receiving plays
Kalif Raymond,DET,9,5,0.5556,39,0,0.105,3,1,0.3333,3,0,0.073,All Kalif Raymond red zone receiving plays
Curtis Samuel,WAS,9,5,0.5556,27,2,0.16699999999999998,8,4,0.5,12,1,0.28600000000000003,All Curtis Samuel red zone receiving plays
Harrison Bryant,CLE,8,3,0.375,14,1,0.114,4,2,0.5,9,1,0.133,All Harrison Bryant red zone receiving plays
Michael Carter,NYJ,8,5,0.625,14,0,0.127,3,0,0.0,0,0,0.107,All Michael Carter red zone receiving plays
Nico Collins,HOU,8,3,0.375,22,2,0.121,3,1,0.3333,6,1,0.12,All Nico Collins red zone receiving plays
Corey Davis,NYJ,8,2,0.25,10,1,0.127,3,2,0.6667000000000001,10,1,0.107,All Corey Davis red zone receiving plays
Romeo Doubs,GNB,8,6,0.75,55,3,0.10800000000000001,1,1,1.0,5,1,0.031,All Romeo Doubs red zone receiving plays
Devin Duvernay,BAL,8,5,0.625,36,2,0.114,4,2,0.5,13,1,0.138,All Devin Duvernay red zone receiving plays
Evan Engram,JAX,8,3,0.375,23,2,0.105,3,1,0.3333,3,1,0.094,All Evan Engram red zone receiving plays
Noah Fant,SEA,8,6,0.75,25,4,0.11900000000000001,7,6,0.8571,25,4,0.259,All Noah Fant red zone receiving plays
Dallas Goedert,PHI,8,6,0.75,34,2,0.17,3,2,0.6667000000000001,10,2,0.15,All Dallas Goedert red zone receiving plays
Tyler Lockett,SEA,8,5,0.625,34,2,0.11900000000000001,4,2,0.5,13,2,0.14800000000000002,All Tyler Lockett red zone receiving plays
Josh Palmer,LAC,8,4,0.5,20,2,0.083,4,2,0.5,13,2,0.087,All Josh Palmer red zone receiving plays
Tony Pollard,DAL,8,4,0.5,25,1,0.11900000000000001,5,2,0.4,10,1,0.14300000000000002,All Tony Pollard red zone receiving plays
MyCole Pruitt,ATL,8,7,0.875,29,4,0.16699999999999998,5,5,1.0,21,4,0.179,All MyCole Pruitt red zone receiving plays
Trent Sherfield,MIA,8,6,0.75,48,1,0.129,2,1,0.5,5,0,0.065,All Trent Sherfield red zone receiving plays
Jaylen Waddle,MIA,8,4,0.5,36,4,0.129,5,3,0.6,18,3,0.161,All Jaylen Waddle red zone receiving plays
Rachaad White,TAM,8,6,0.75,19,2,0.083,2,2,1.0,9,2,0.040999999999999995,All Rachaad White red zone receiving plays
Randall Cobb,GNB,7,3,0.4286,25,1,0.095,2,0,0.0,0,0,0.063,All Randall Cobb red zone receiving plays
Jahan Dotson,WAS,7,6,0.8571,55,5,0.13,5,4,0.8,22,4,0.179,All Jahan Dotson red zone receiving plays
Najee Harris,PIT,7,4,0.5714,19,3,0.125,5,3,0.6,17,3,0.172,All Najee Harris red zone receiving plays
Hunter Henry,NWE,7,1,0.1429,13,0,0.152,3,0,0.0,0,0,0.107,All Hunter Henry red zone receiving plays
Dontrell Hilliard,TEN,7,5,0.7143,46,3,0.125,2,1,0.5,7,1,0.083,All Dontrell Hilliard red zone receiving plays
Nyheim Hines,2TM,7,6,0.8571,45,1,,1,1,1.0,10,1,,All Nyheim Hines red zone receiving plays
Kareem Hunt,CLE,7,3,0.4286,8,1,0.1,3,2,0.6667000000000001,6,1,0.1,All Kareem Hunt red zone receiving plays
Richie James,NYG,7,7,1.0,55,4,0.179,4,4,1.0,18,3,0.2,All Richie James red zone receiving plays
Jakobi Meyers,NWE,7,5,0.7143,23,3,0.152,5,4,0.8,14,3,0.179,All Jakobi Meyers red zone receiving plays
Elijah Moore,NYJ,7,3,0.4286,12,0,0.111,1,0,0.0,0,0,0.036000000000000004,All Elijah Moore red zone receiving plays
Raheem Mostert,MIA,7,6,0.8571,13,2,0.113,4,3,0.75,19,2,0.129,All Raheem Mostert red zone receiving plays
Samaje Perine,CIN,7,5,0.7143,33,3,0.08,2,1,0.5,6,1,0.057,All Samaje Perine red zone receiving plays
Devin Singletary,BUF,7,4,0.5714,15,1,0.091,3,2,0.6667000000000001,3,1,0.086,All Devin Singletary red zone receiving plays
